Player,Year,Age,Tm,G,FG%,3P,PTS
Michael Jordan*,1985.0,21.0,CHI,82.0,0.515,9.0,2313.0
Michael Jordan*,1986.0,22.0,CHI,18.0,0.457,3.0,408.0
Michael Jordan*,1987.0,23.0,CHI,82.0,0.48200000000000004,12.0,3041.0
Michael Jordan*,1988.0,24.0,CHI,82.0,0.535,7.0,2868.0
Michael Jordan*,1989.0,25.0,CHI,81.0,0.5379999999999999,27.0,2633.0
Michael Jordan*,1990.0,26.0,CHI,82.0,0.526,92.0,2753.0
Michael Jordan*,1991.0,27.0,CHI,82.0,0.539,29.0,2580.0
Michael Jordan*,1992.0,28.0,CHI,80.0,0.519,27.0,2404.0
Michael Jordan*,1993.0,29.0,CHI,78.0,0.495,81.0,2541.0
Michael Jordan*,1995.0,31.0,CHI,17.0,0.41100000000000003,16.0,457.0
Michael Jordan*,1996.0,32.0,CHI,82.0,0.495,111.0,2491.0
Michael Jordan*,1997.0,33.0,CHI,82.0,0.486,111.0,2431.0
Michael Jordan*,1998.0,34.0,CHI,82.0,0.465,30.0,2357.0
Michael Jordan*,2002.0,38.0,WAS,60.0,0.41600000000000004,10.0,1375.0
Michael Jordan*,2003.0,39.0,WAS,82.0,0.445,16.0,1640.0
